p1	p2	rg	se	p	FDR
NHL	oralpharynx				
NHL	ovary				
NHL	pancreas	-0.8402	1.099	0.4444	0.7789208791208792
NHL	prostate	0.055999999999999994	0.1287	0.6635	0.8415523809523808
NHL	rectum	0.09973	0.2987	0.7384	0.8789164179104476
NHL	thyroid	0.02706	0.3222	0.9331	0.9727415032679739
cervix	BCAC_Onco_iCOGs_GWAS	0.20800000000000002	0.06777000000000001	0.002141	0.015522250000000001
cervix	BCAC_Onco_iCOGs_HER2	0.08127999999999999	0.1921	0.6722	0.8442196850393701
cervix	BCAC_Onco_iCOGs_luminalA	0.3077	0.07397999999999999	3.194e-05	0.0002830238888888889
cervix	BCAC_Onco_iCOGs_luminalB	0.02458	0.1213	0.8394	0.9220305841924399
cervix	BCAC_Onco_iCOGs_luminalBHER2Neg	0.2029	0.1218	0.09581	0.37272426829268296
cervix	BCAC_Onco_iCOGs_TripleN	0.1788	0.1393	0.1991	0.5907407407407408
cervix	bladder	-0.1076	0.2388	0.6523	0.8415523809523808
cervix	brca1_bc	-0.4168	0.2054	0.04244	0.20512666666666665
cervix	brca1_oc	0.456	0.2793	0.1025	0.3892559523809524
cervix	brca2_bc	0.1205	0.2015	0.5498	0.8196976958525345
cervix	brca2_oc	0.2575	0.6393	0.6871	0.8512848837209303
cervix	breast	0.3946	0.1015	0.000101	0.0008478684210526317
cervix	CIMBA_BCAC_TN	-0.04481	0.1207	0.7105	0.8639684410646389
cervix	colon	0.3592	0.1783	0.043930000000000004	0.20915925373134328
cervix	endom	0.2072	0.161	0.1982	0.5907407407407408
cervix	gastricesoph	0.2868	0.598	0.6316	0.8415523809523808
cervix	kidney	0.2065	0.3499	0.5551	0.8196976958525345
cervix	leukemia	0.1107	0.3001	0.7123	0.8639684410646389
cervix	lung	0.2157	0.1724	0.2109	0.6061
cervix	melanoma	-0.03951	0.1176	0.7369	0.8789164179104476
cervix	NHL	-0.2076	0.2491	0.4047	0.7633744186046512
cervix	oralpharynx				
cervix	ovary				
cervix	pancreas	0.8891	0.993	0.3706	0.7575265432098766
cervix	prostate	0.1048	0.1013	0.3009	0.6992572463768116
cervix	rectum	0.2544	0.2231	0.254	0.6430634920634921
cervix	thyroid	-0.2236	0.2518	0.3744	0.7575265432098766
